,price,markup
0,100,49.00%
1,200,32.50%
2,300,27.00%
3,400,25.00%
4,500,23.00%
5,600,22.00%
6,700,21.50%
7,800,20.50%
8,900,20.00%
9,1000,22.00%
10,1100,21.00%
11,1200,21.00%
12,1300,20.00%
13,1400,20.00%
14,1500,20.00%
15,1600,19.00%
16,1700,19.00%
17,1800,19.00%
18,1900,19.00%
19,2000,19.00%
20,2100,19.00%
21,2200,18.50%
22,2300,18.50%
23,2400,18.50%
24,2500,18.50%
25,2600,18.50%
26,2700,18.50%
27,2800,18.50%
28,2900,18.50%
29,3000,18.50%
30,3500,18.50%
31,4000,18.50%
32,4500,18.50%
33,5000,18.50%
34,6000,18.50%
35,7000,18.50%
36,8000,18.50%
37,9000,18.50%
38,10000,18.50%
