,country chinese,country english,format,growth,item id,markup prices,negoce,percentiles,price,qty,rating,region chinese,region english,type chinese,type english,vendor chinese,vendor english,wine,year
0,法國,France,"37,5cl",Bordeaux Grand Cru Classe 4th Growths,CFW00099-2007-00375,136.29,Testing 2,65.00%,82.60,60,,波爾多,"St. Julien, Bordeaux",紅酒,Red,,Chateau Talbot,Connetable Talbot,2007
1,法國,France,75cl,Bordeaux Grand Cru Classe 4th Growths,CFW00099-2011-00075,254.10,Testing 2,65.00%,154.00,120,,波爾多,"St. Julien, Bordeaux",紅酒,Red,,Chateau Talbot,Connetable Talbot,2011
2,法國,France,75cl,Bordeaux Grand Cru Classe 4th Growths,CFW00099-2012-00075,246.58,Testing 2,65.00%,149.44,360,,波爾多,"St. Julien, Bordeaux",紅酒,Red,,Chateau Talbot,Connetable Talbot,2012
0,法國,France,"37,5cl",Bordeaux Grand Cru Classe 4th Growths,CFW00099-2007-00375,136.29,Testing 1,65.00%,82.60,6,,波爾多,"St. Julien, Bordeaux",紅酒,Red,,Chateau Talbot,Connetable Talbot,2007
1,法國,France,75cl,Bordeaux Grand Cru Classe 4th Growths,CFW00099-2011-00075,254.10,Testing 1,65.00%,154.00,24,,波爾多,"St. Julien, Bordeaux",紅酒,Red,,Chateau Talbot,Connetable Talbot,2011
2,法國,France,75cl,Bordeaux Grand Cru Classe 4th Growths,CFW00099-2012-00075,246.58,Testing 1,65.00%,149.44,36,,波爾多,"St. Julien, Bordeaux",紅酒,Red,,Chateau Talbot,Connetable Talbot,2012
0,法國,France,750ml,Bordeaux Grand Cru Classe 4th Growths,CFW00099-2011-00750,297.00,Testing 4,65.00%,180,223,,波爾多,"St. Julien, Bordeaux",紅酒,Red,,Chateau Talbot,Connetable Talbot,2011
1,法國,France,750ml,Bordeaux Grand Cru Classe 4th Growths,CFW00099-2013-00750,288.75,Testing 4,65.00%,175,600,,波爾多,"St. Julien, Bordeaux",紅酒,Red,,Chateau Talbot,Connetable Talbot,2013
0,法國,France,750ml,Bordeaux Grand Cru Classe 4th Growths,CFW00099-2011-00750,260.70,Testing 3,65.00%,158,168,,波爾多,"St. Julien, Bordeaux",紅酒,Red,,Chateau Talbot,Connetable Talbot,2011
1,法國,France,750ml,Bordeaux Grand Cru Classe 4th Growths,CFW00099-2013-00750,252.45,Testing 3,65.00%,153,221,,波爾多,"St. Julien, Bordeaux",紅酒,Red,,Chateau Talbot,Connetable Talbot,2013
