Wine,Vintage,Format,Cost,Qty,Negoce
Aile d'Argent Blanc du Chateau Mouton Rothschild,2014,750ml,425,12312,Cuvees
Chevalier de Lascombes,2011,750ml,183.2,24,Cuvees
Chateau Dauzac,2009,750ml,297.5,36,Cuvees
Chateau Dauzac,2013,750ml,178.5,12,Cuvees
Chateau Grand Puy Lacoste,2013,750ml,265.2,36,Cuvees
Chateau Monbousquet,2013,750ml,220.6,96,Cuvees
Chateau Talbot,2012,750ml,314.5,60,Cuvees
Chateau Calon Segur,2002,750ml,646,24,Cuvees
Chateau Ducru Beaucaillou,1997,750ml,833,36,Cuvees
La Clarte de Haut Brion Blanc,2014,750ml,535.5,120,Cuvees
Chateau Rauzan Segla,1995,750ml,790.5,24,Cuvees
Chateau Rauzan Segla,2000,750ml,833,24,Cuvees
Chateau Palmer,1998,750ml,1743,12,Cuvees
Chateau Palmer,1985,750ml,1573,6,Cuvees
Opus One,2013,750ml,1573,48,Cuvees
Overture,2012,750ml,722.5,48,Cuvees
Sena,2014,750ml,620.5,36,Cuvees
Antinori Solaia,2013,750ml,1105,12,Cuvees
