,wine,growth,type english,type chinese,vendor english,vendor chinese,region english,region chinese,country english,country chinese,rating,vintage,format,cost,qty,negoce
0,Aile d'Argent Blanc du Chateau Mouton Rothschild,Bordeaux Grand Cru Classe 1st Growths,White,白酒,Baron Philippe de Rothschild,木桐酒莊,Bordeaux,波爾多,France,法國,RP96,2014,750ml,425.0,12,Cuvees
1,Chevalier de Lascombes,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Lascombes,,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,2011,750ml,183.2,24,Cuvees
2,Chateau Dauzac,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Dauzac,,"Margaux, Bordeaux",波爾多,France,法國,,2009,750ml,297.5,36,Cuvees
3,Chateau Dauzac,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Dauzac,,"Margaux, Bordeaux",波爾多,France,法國,,2013,750ml,178.5,12,Cuvees
4,Chateau Grand Puy Lacoste,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Grand Puy Lacoste,,"Pauillac, Bordeaux",波爾多,France,法國,,2013,750ml,265.2,36,Cuvees
5,Chateau Monbousquet,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Monbousquet,,"St. Emilion, Bordeaux",波爾多,France,法國,,2013,750ml,220.6,96,Cuvees
6,Chateau Talbot,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Talbot,,"St. Julien, Bordeaux",波爾多,France,法國,,2012,750ml,314.5,60,Cuvees
7,Chateau Calon Segur,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Calon Segur,,"St. Estephe, Bordeaux",波爾多,France,法國,,2002,750ml,646.0,24,Cuvees
8,Chateau Ducru Beaucaillou,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Ducru Beaucaillou,,"St. Julien, Bordeaux",波爾多,France,法國,,1997,750ml,833.0,36,Cuvees
9,Chateau Rauzan Segla,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Rauzan Segla,,Bordeaux,波爾多,France,法國,RP96,1995,750ml,790.5,24,Cuvees
10,Chateau Rauzan Segla,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Rauzan Segla,,Bordeaux,波爾多,France,法國,RP96,2000,750ml,833.0,24,Cuvees
11,Chateau Palmer,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Palmer,,"Margaux, Bordeaux",波爾多,France,法國,,1998,750ml,1743.0,12,Cuvees
12,Chateau Palmer,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Palmer,,"Margaux, Bordeaux",波爾多,France,法國,,1985,750ml,1573.0,6,Cuvees
13,Opus One,,Red,紅酒,Opus One,,Napa,納帕,USA,美國,,2013,750ml,1573.0,48,Cuvees
14,Overture,,Red,紅酒,Opus One,,Napa,納帕,USA,美國,,2012,750ml,722.5,48,Cuvees
15,Sena,,Red,紅酒,Sena,,Aconcagua,阿空加瓜,Chile,智利,,2014,750ml,620.5,36,Cuvees
