,Wine,Price,Year,Region,Format,Markup Price,Markup %,WS Merchant,WS Price,Negoce,Recommended Selling Price,Sell,Margin
0,ALTER EGO,332.62,2014,Margaux,75cl,422.43,27.00%,Millesima - Hong Kong,392.0,Diva,422.0,No,89.0
1,CH. DUHART MILON ROTHSCHILD,371.49,2014,Pauillac,75cl,471.79,27.00%,Millesima - Hong Kong,418.0,Diva,472.0,No,101.0
2,CH. LAGRANGE,207.35,2014,Saint Julien,75cl,274.74,32.50%,Millesima - Hong Kong,243.0,Diva,275.0,No,68.0
3,CH. FONBEL (DE),88.12,2014,Saint Emilion Grand Cru,75cl,131.30,49.00%,Y18 Elegant Spirits Ltd.,168.0,Diva,165.0,Yes,77.0
4,CH. LYNCH MOUSSAS,181.43,2014,Pauillac,75cl,270.33,49.00%,Millesima - Hong Kong,222.0,Diva,270.0,No,89.0
5,CH. CAMBON LA PELOUSE,80.35,2014,Haut Medoc,75cl,119.72,49.00%,Millesima - Hong Kong,99.0,Diva,120.0,No,40.0
6,CH. HAUT BAGES LIBERAL,207.35,2014,Pauillac,75cl,274.74,32.50%,Millesima - Hong Kong,231.0,Diva,275.0,No,68.0
7,CH. MALARTIC LAGRAVIERE ROUGE,250.54,2014,Pessac Leognan,75cl,331.97,32.50%,Millesima - Hong Kong,273.0,Diva,332.0,No,81.0
8,CH. PAVIE,1555.09,2014,Saint Emilion Grand Cru,75cl,1866.11,20.00%,Riepenau Fine & Rare,1930.0,Diva,1891.0,Yes,336.0
9,CH. CAMENSAC,129.59,2014,Haut Medoc,75cl,193.09,49.00%,Millesima - Hong Kong,154.0,Diva,193.0,No,63.0
10,CARMES DE RIEUSSEC,125.27,2014,Sauternes,75cl,186.65,49.00%,Millesima - Hong Kong,141.0,Diva,187.0,No,62.0
11,CH. FLEUR PEYRABON (LA),114.04,2014,Pauillac,75cl,169.92,49.00%,Millesima - Hong Kong,146.0,Diva,170.0,No,56.0
12,CH. SENEJAC,67.39,2014,Haut Medoc,75cl,100.41,49.00%,Millesima - Hong Kong,84.0,Diva,100.0,No,33.0
13,CH. SMITH HAUT LAFITTE ROUGE,393.96,2014,Pessac Leognan,75cl,500.33,27.00%,Millesima - Hong Kong,486.0,Diva,500.0,No,106.0
14,CH. LATOUR MARTILLAC ROUGE,163.28,2014,Pessac Leognan,75cl,243.29,49.00%,Millesima - Hong Kong,201.0,Diva,243.0,No,80.0
15,CROIX DE BEAUCAILLOU (LA),233.26,2014,Saint Julien,75cl,309.07,32.50%,Millesima - Hong Kong,256.0,Diva,309.0,No,76.0
16,CH. GLORIA,181.43,2014,Saint Julien,75cl,270.33,49.00%,Millesima - Hong Kong,209.0,Diva,270.0,No,89.0
17,MARQUIS DE CALON SEGUR (LE),138.23,2014,Saint Estephe,75cl,205.96,49.00%,Millesima - Hong Kong,154.0,Diva,206.0,No,68.0
18,CH. OLIVIER BLANC,155.51,2014,Pessac Leognan,75cl,231.71,49.00%,Millesima - Hong Kong,188.0,Diva,232.0,No,76.0
19,CH. FLEUR CARDINALE,207.35,2014,Saint Emilion Grand Cru,75cl,274.74,32.50%,Millesima - Hong Kong,239.0,Diva,275.0,No,68.0
20,CH. TERTRE (DU),176.24,2014,Margaux,75cl,262.60,49.00%,Millesima - Hong Kong,239.0,Diva,263.0,No,87.0
21,CH. PHELAN SEGUR,196.98,2014,Saint Estephe,75cl,293.50,49.00%,Millesima - Hong Kong,243.0,Diva,294.0,No,97.0
22,CH. DOMINIQUE (LA),207.35,2014,Saint Emilion Grand Cru,75cl,274.74,32.50%,Millesima - Hong Kong,252.0,Diva,275.0,No,68.0
23,CH. FOMBRAUGE,142.55,2014,Saint Emilion Grand Cru,75cl,212.40,49.00%,Millesima - Hong Kong,146.0,Diva,212.0,No,69.0
24,CH. PRIEURE LICHINE,190.07,2014,Margaux,75cl,283.20,49.00%,Millesima - Hong Kong,231.0,Diva,283.0,No,93.0
25,CH. COS D'ESTOURNEL,730.03,2014,Saint Estephe,75cl,886.99,21.50%,Millesima - Hong Kong,880.0,Diva,887.0,No,157.0
26,CH. PICQUE CAILLOU ROUGE,94.17,2014,Pessac Leognan,75cl,140.31,49.00%,Millesima - Hong Kong,114.0,Diva,140.0,No,46.0
27,ECHO DE LYNCH BAGES,186.61,2014,Pauillac,75cl,278.05,49.00%,Millesima - Hong Kong,222.0,Diva,278.0,No,91.0
28,CH. TOUR CARNET (LA),164.15,2014,Haut Medoc,75cl,244.58,49.00%,Millesima - Hong Kong,175.0,Diva,245.0,No,81.0
29,CH. MARQUIS D'ALESME,254.86,2014,Margaux,75cl,337.69,32.50%,Millesima - Hong Kong,231.0,Diva,338.0,No,83.0
30,CH. LANESSAN,78.62,2014,Haut Medoc,75cl,117.14,49.00%,Millesima - Hong Kong,90.0,Diva,117.0,No,38.0
31,CH. LANGOA BARTON,250.54,2014,Saint Julien,75cl,331.97,32.50%,Millesima - Hong Kong,303.0,Diva,332.0,No,81.0
32,CH. LALANDE BORIE,155.51,2014,Saint Julien,75cl,231.71,49.00%,Millesima - Hong Kong,154.0,Diva,232.0,No,76.0
33,CH. RIEUSSEC,362.85,2014,Sauternes,75cl,460.82,27.00%,Millesima - Hong Kong,409.0,Diva,461.0,No,98.0
34,CH. LASCOMBES,362.85,2014,Margaux,75cl,460.82,27.00%,Millesima - Hong Kong,418.0,Diva,461.0,No,98.0
35,CH. POUJEAUX,145.14,2014,Moulis,75cl,216.26,49.00%,Millesima - Hong Kong,175.0,Diva,216.0,No,71.0
