,Unnamed: 0,item id,wine,wine chinese,growth,type english,type chinese,vendor english,vendor chinese,region english,region chinese,country english,country chinese,rating,year,format,price,qty,negoce
0,0,CFW00002-2000-00750,Carruades de Lafite,小拉菲／拉菲副牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Domaines Barons de Rothschild,拉菲酒莊－ 罗斯柴尔德男爵集團,"Pauillac, Bordeaux",波爾多,France,法國,,2000,750ml,4370.46,108,Dynamic
1,1,CFW00002-2007-00750,Carruades de Lafite,小拉菲／拉菲副牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Domaines Barons de Rothschild,拉菲酒莊－ 罗斯柴尔德男爵集團,"Pauillac, Bordeaux",波爾多,France,法國,,2007,750ml,3539.04,36,Dynamic
2,2,CFW00002-2008-00750,Carruades de Lafite,小拉菲／拉菲副牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Domaines Barons de Rothschild,拉菲酒莊－ 罗斯柴尔德男爵集團,"Pauillac, Bordeaux",波爾多,France,法國,,2008,750ml,3657.78,396,Dynamic
3,3,CFW00217-2009-01500,Chateau Angelus,金鐘,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Angelus,金鐘酒莊,"St. Emilion, Bordeaux",波爾多,France,法國,,2009,1500ml,4503.16,12,Dynamic
4,4,CFW00162-2012-00750,Chateau Cantemerle,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Cantemerle,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2012,750ml,190.0,120,Dynamic
5,5,CFW00174-2012-00750,Chateau Carbonnieux Blanc,,Graves,White,白酒,Chateau Carbonnieux,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,2012,750ml,199.0,120,Dynamic
6,6,CFW00173-2012-00750,Chateau Carbonnieux Rouge,,Graves,Red,紅酒,Chateau Carbonnieux,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,2012,750ml,188.75,36,Dynamic
7,7,CFW01137-2005-00750,Chateau de Pommard,,,Red,紅酒,Chateau de Pommard,,Burgundy,勃艮第,France,法國,,2005,750ml,1040.17,166,Dynamic
8,8,CFW01137-2006-00750,Chateau de Pommard,,,Red,紅酒,Chateau de Pommard,,Burgundy,勃艮第,France,法國,,2006,750ml,1040.17,12,Dynamic
9,9,CFW01137-2007-00750,Chateau de Pommard,,,Red,紅酒,Chateau de Pommard,,Burgundy,勃艮第,France,法國,,2007,750ml,548.17,240,Dynamic
10,10,CFW00059-2012-00750,Chateau Lagrange,,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Lagrange,,"St. Julien, Bordeaux",波爾多,France,法國,,2012,750ml,251.1,59,Dynamic
11,11,CFW00134-1996-00750,Chateau Lynch Bages,靚茨伯,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Lynch Bages,都卡斯庄园,"Pauillac, Bordeaux",波爾多,France,法國,,1996,750ml,1721.45,120,Dynamic
12,12,CFW00134-2001-00750,Chateau Lynch Bages,靚茨伯,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Lynch Bages,都卡斯庄园,"Pauillac, Bordeaux",波爾多,France,法國,,2001,750ml,998.79,133,Dynamic
13,13,CFW00134-2005-00750,Chateau Lynch Bages,靚茨伯,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Lynch Bages,都卡斯庄园,"Pauillac, Bordeaux",波爾多,France,法國,,2005,750ml,1276.74,9,Dynamic
14,14,CFW00134-2006-00750,Chateau Lynch Bages,靚茨伯,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Lynch Bages,都卡斯庄园,"Pauillac, Bordeaux",波爾多,France,法國,,2006,750ml,998.79,42,Dynamic
15,15,CFW00134-2007-00750,Chateau Lynch Bages,靚茨伯,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Lynch Bages,都卡斯庄园,"Pauillac, Bordeaux",波爾多,France,法國,,2007,750ml,887.61,515,Dynamic
16,16,CFW00134-2008-00750,Chateau Lynch Bages,靚茨伯,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Lynch Bages,都卡斯庄园,"Pauillac, Bordeaux",波爾多,France,法國,,2008,750ml,998.79,168,Dynamic
17,17,CFW00363-2012-00750,Chateau Phelan Segur,,Cru Bourgeois Exceptionnel,Red,紅酒,Chateau Phelan Segur,,"St. Estephe, Bordeaux",波爾多,France,法國,,2012,750ml,221.4,59,Dynamic
18,18,CFW00636-2006-00750,Rolf Binder Veritas Winery Hanisch Shiraz,,,Red,紅酒,Rolf Binder,,Barossa,巴羅薩,Australia,澳洲,,2006,750ml,541.15,102,Dynamic
19,19,CFW00637-2006-00750,Rolf Binder Veritas Winery Haysen Shiraz,,,Red,紅酒,Rolf Binder,,Barossa,巴羅薩,Australia,澳洲,,2006,750ml,400.85,120,Dynamic
20,20,CFW00721-2006-00750,Dom Perignon,唐培里侬香槟王,,Champagne,香檳,Dom Perignon,唐培里侬,Champagne,香檳,France,法國,,2006,750ml,805.0,72,Dynamic
